Start frame:0, End frame:0, Time taken:7 microseconds
Start frame:1, End frame:1, Time taken:13 microseconds
Start frame:2, End frame:2, Time taken:7 microseconds
Start frame:3, End frame:3, Time taken:7 microseconds
Start frame:4, End frame:4, Time taken:7 microseconds
Start frame:5, End frame:5, Time taken:12 microseconds
Start frame:6, End frame:6, Time taken:7 microseconds
Start frame:7, End frame:7, Time taken:7 microseconds
Start frame:8, End frame:8, Time taken:7 microseconds
Start frame:9, End frame:9, Time taken:10 microseconds
Start frame:10, End frame:10, Time taken:7 microseconds
Start frame:11, End frame:11, Time taken:7 microseconds
Start frame:12, End frame:12, Time taken:7 microseconds
Start frame:13, End frame:13, Time taken:7 microseconds
Start frame:14, End frame:14, Time taken:7 microseconds
Start frame:15, End frame:15, Time taken:7 microseconds
Start frame:16, End frame:16, Time taken:7 microseconds
Start frame:17, End frame:17, Time taken:7 microseconds
Start frame:18, End frame:18, Time taken:7 microseconds
Start frame:19, End frame:19, Time taken:7 microseconds
Start frame:20, End frame:20, Time taken:11 microseconds
Start frame:21, End frame:21, Time taken:7 microseconds
Start frame:22, End frame:22, Time taken:16 microseconds
Start frame:23, End frame:23, Time taken:7 microseconds
Start frame:24, End frame:24, Time taken:7 microseconds
Start frame:25, End frame:25, Time taken:11 microseconds
Start frame:26, End frame:26, Time taken:7 microseconds
Start frame:27, End frame:27, Time taken:7 microseconds
Start frame:28, End frame:28, Time taken:7 microseconds
Start frame:29, End frame:29, Time taken:7 microseconds
Start frame:30, End frame:30, Time taken:7 microseconds
Start frame:31, End frame:31, Time taken:7 microseconds
Start frame:32, End frame:32, Time taken:7 microseconds
Start frame:33, End frame:33, Time taken:15 microseconds
Start frame:34, End frame:34, Time taken:7 microseconds
Start frame:35, End frame:35, Time taken:7 microseconds
Start frame:36, End frame:36, Time taken:11 microseconds
Start frame:37, End frame:37, Time taken:10 microseconds
Start frame:38, End frame:38, Time taken:9 microseconds
Start frame:39, End frame:39, Time taken:7 microseconds
Start frame:40, End frame:40, Time taken:7 microseconds
Start frame:41, End frame:41, Time taken:7 microseconds
Start frame:42, End frame:42, Time taken:9 microseconds
Start frame:43, End frame:43, Time taken:12 microseconds
Start frame:44, End frame:44, Time taken:8 microseconds
Start frame:45, End frame:45, Time taken:7 microseconds
Start frame:46, End frame:46, Time taken:7 microseconds
Start frame:47, End frame:47, Time taken:7 microseconds
Start frame:48, End frame:48, Time taken:10 microseconds
Start frame:49, End frame:49, Time taken:7 microseconds
Start frame:50, End frame:50, Time taken:7 microseconds
Start frame:51, End frame:51, Time taken:7 microseconds
Start frame:52, End frame:52, Time taken:7 microseconds
Start frame:53, End frame:53, Time taken:47 microseconds
Start frame:54, End frame:54, Time taken:8 microseconds
Start frame:55, End frame:55, Time taken:7 microseconds
Start frame:56, End frame:56, Time taken:7 microseconds
Start frame:57, End frame:57, Time taken:7 microseconds
Start frame:58, End frame:58, Time taken:7 microseconds
Start frame:59, End frame:59, Time taken:7 microseconds
Start frame:60, End frame:60, Time taken:12 microseconds
Start frame:61, End frame:61, Time taken:13 microseconds
Start frame:62, End frame:62, Time taken:15 microseconds
Start frame:63, End frame:63, Time taken:16 microseconds
Start frame:64, End frame:64, Time taken:15 microseconds
Start frame:65, End frame:65, Time taken:13 microseconds
Start frame:66, End frame:66, Time taken:17 microseconds
Start frame:67, End frame:67, Time taken:12 microseconds
Start frame:68, End frame:68, Time taken:7 microseconds
Start frame:69, End frame:69, Time taken:15 microseconds
Start frame:70, End frame:70, Time taken:15 microseconds
Start frame:71, End frame:71, Time taken:7 microseconds
Start frame:72, End frame:72, Time taken:7 microseconds
Start frame:73, End frame:73, Time taken:10 microseconds
Start frame:74, End frame:74, Time taken:7 microseconds
Start frame:75, End frame:75, Time taken:11 microseconds
Start frame:76, End frame:76, Time taken:8 microseconds
Start frame:77, End frame:77, Time taken:10 microseconds
Start frame:78, End frame:78, Time taken:13 microseconds
Start frame:79, End frame:79, Time taken:10 microseconds
Start frame:80, End frame:80, Time taken:11 microseconds
Start frame:81, End frame:81, Time taken:75 microseconds
Start frame:82, End frame:82, Time taken:11 microseconds
Start frame:83, End frame:83, Time taken:12 microseconds
Start frame:84, End frame:84, Time taken:11 microseconds
Start frame:85, End frame:85, Time taken:11 microseconds
Start frame:86, End frame:86, Time taken:7 microseconds
Start frame:87, End frame:87, Time taken:7 microseconds
Start frame:88, End frame:88, Time taken:7 microseconds
Start frame:89, End frame:89, Time taken:7 microseconds
Start frame:90, End frame:90, Time taken:7 microseconds
Start frame:91, End frame:91, Time taken:8 microseconds
Start frame:92, End frame:92, Time taken:8 microseconds
Start frame:93, End frame:93, Time taken:7 microseconds
Start frame:94, End frame:94, Time taken:7 microseconds
Start frame:95, End frame:95, Time taken:7 microseconds
Start frame:96, End frame:96, Time taken:12 microseconds
Start frame:97, End frame:97, Time taken:8 microseconds
Start frame:98, End frame:98, Time taken:13 microseconds
Start frame:99, End frame:99, Time taken:7 microseconds
Start frame:100, End frame:100, Time taken:12 microseconds
Start frame:101, End frame:101, Time taken:15 microseconds
Start frame:102, End frame:102, Time taken:10 microseconds
Start frame:103, End frame:103, Time taken:13 microseconds
Start frame:104, End frame:104, Time taken:16 microseconds
Start frame:105, End frame:105, Time taken:11 microseconds
Start frame:106, End frame:106, Time taken:7 microseconds
Start frame:107, End frame:107, Time taken:7 microseconds
Start frame:108, End frame:108, Time taken:14 microseconds
Start frame:109, End frame:109, Time taken:7 microseconds
Start frame:110, End frame:110, Time taken:7 microseconds
Start frame:111, End frame:111, Time taken:7 microseconds
Start frame:112, End frame:112, Time taken:7 microseconds
Start frame:113, End frame:113, Time taken:7 microseconds
Start frame:114, End frame:114, Time taken:10 microseconds
Start frame:115, End frame:115, Time taken:7 microseconds
Start frame:116, End frame:116, Time taken:7 microseconds
Start frame:117, End frame:117, Time taken:7 microseconds
Start frame:118, End frame:118, Time taken:7 microseconds
Start frame:119, End frame:119, Time taken:7 microseconds
Start frame:120, End frame:120, Time taken:11 microseconds
Start frame:121, End frame:121, Time taken:8 microseconds
Start frame:122, End frame:122, Time taken:7 microseconds
Start frame:123, End frame:123, Time taken:13 microseconds
Start frame:124, End frame:124, Time taken:7 microseconds
Start frame:125, End frame:125, Time taken:11 microseconds
Start frame:126, End frame:126, Time taken:11 microseconds
Start frame:127, End frame:127, Time taken:10 microseconds
Start frame:128, End frame:128, Time taken:10 microseconds
Start frame:129, End frame:129, Time taken:10 microseconds
Start frame:130, End frame:130, Time taken:7 microseconds
Start frame:131, End frame:131, Time taken:7 microseconds
Start frame:132, End frame:132, Time taken:9 microseconds
Start frame:133, End frame:133, Time taken:7 microseconds
Start frame:134, End frame:134, Time taken:7 microseconds
Start frame:135, End frame:135, Time taken:7 microseconds
Start frame:136, End frame:136, Time taken:7 microseconds
Start frame:137, End frame:137, Time taken:10 microseconds
Start frame:138, End frame:138, Time taken:7 microseconds
Start frame:139, End frame:139, Time taken:7 microseconds
Start frame:140, End frame:140, Time taken:7 microseconds
Start frame:141, End frame:141, Time taken:7 microseconds
Start frame:142, End frame:142, Time taken:7 microseconds
Start frame:143, End frame:143, Time taken:10 microseconds
Start frame:144, End frame:144, Time taken:13 microseconds
Start frame:145, End frame:145, Time taken:13 microseconds
Start frame:146, End frame:146, Time taken:7 microseconds
Start frame:147, End frame:147, Time taken:7 microseconds
Start frame:148, End frame:148, Time taken:7 microseconds
Start frame:149, End frame:149, Time taken:7 microseconds
Start frame:150, End frame:150, Time taken:7 microseconds
Start frame:151, End frame:151, Time taken:7 microseconds
Start frame:152, End frame:152, Time taken:7 microseconds
Start frame:153, End frame:153, Time taken:11 microseconds
Start frame:154, End frame:154, Time taken:11 microseconds
Start frame:155, End frame:155, Time taken:7 microseconds
Start frame:156, End frame:156, Time taken:7 microseconds
Start frame:157, End frame:157, Time taken:7 microseconds
Start frame:158, End frame:158, Time taken:7 microseconds
